Freq.	V(vout)
1.23310483322890e+00	(5.62732208250854e+01dB,-1.90912857101946e+00°)
1.23594743344451e+00	(5.62731980823580e+01dB,-1.91352618781540e+00°)
1.23879658653036e+00	(5.62731752347786e+01dB,-1.91793391845229e+00°)
1.24165230759241e+00	(5.62731522818498e+01dB,-1.92235178912398e+00°)
1.24451461177138e+00	(5.62731292231044e+01dB,-1.92677981846100e+00°)
1.24738351424294e+00	(5.62731060580553e+01dB,-1.93121803123868e+00°)
1.25025903021771e+00	(5.62730827861947e+01dB,-1.93566645152324e+00°)
1.25314117494141e+00	(5.62730594070382e+01dB,-1.94012510267195e+00°)
1.25602996369487e+00	(5.62730359201095e+01dB,-1.94459400809478e+00°)
1.25892541179416e+00	(5.62730123248944e+01dB,-1.94907319049291e+00°)
1.26182753459066e+00	(5.62729886208870e+01dB,-1.95356267185895e+00°)
1.26473634747115e+00	(5.62729648076045e+01dB,-1.95806248033093e+00°)
1.26765186585784e+00	(5.62729408845365e+01dB,-1.96257263572296e+00°)
1.27057410520854e+00	(5.62729168511807e+01dB,-1.96709316247169e+00°)
1.27350308101666e+00	(5.62728927070188e+01dB,-1.97162408506720e+00°)
1.27643880881134e+00	(5.62728684515514e+01dB,-1.97616542652995e+00°)
1.27938130415752e+00	(5.62728440842622e+01dB,-1.98071721145710e+00°)
1.28233058265602e+00	(5.62728196046292e+01dB,-1.98527946373797e+00°)
1.28528665994361e+00	(5.62727950121532e+01dB,-1.98985220731572e+00°)
1.28824955169313e+00	(5.62727703063037e+01dB,-1.99443546542594e+00°)
1.29121927361353e+00	(5.62727454865587e+01dB,-1.99902926288134e+00°)
1.29419584144998e+00	(5.62727205523795e+01dB,-2.00363362150267e+00°)
1.29717927098395e+00	(5.62726955032716e+01dB,-2.00824857001892e+00°)
1.30016957803328e+00	(5.62726703386840e+01dB,-2.01287412883642e+00°)
1.30316677845229e+00	(5.62726450580817e+01dB,-2.01751032374690e+00°)
1.30617088813183e+00	(5.62726196609449e+01dB,-2.02215717831207e+00°)
1.30918192299940e+00	(5.62725941467189e+01dB,-2.02681471767158e+00°)
1.31219989901920e+00	(5.62725685148902e+01dB,-2.03148296701989e+00°)
1.31522483219223e+00	(5.62725427648915e+01dB,-2.03616194703716e+00°)
1.31825673855640e+00	(5.62725168961975e+01dB,-2.04085168759736e+00°)
1.32129563418657e+00	(5.62724909082469e+01dB,-2.04555220949098e+00°)
1.32434153519466e+00	(5.62724648005054e+01dB,-2.05026353889484e+00°)
1.32739445772973e+00	(5.62724385724139e+01dB,-2.05498570051803e+00°)
1.33045441797808e+00	(5.62724122234113e+01dB,-2.05971871836372e+00°)
1.33352143216332e+00	(5.62723857529376e+01dB,-2.06446261801391e+00°)
1.33659551654643e+00	(5.62723591604623e+01dB,-2.06921742434489e+00°)
1.33967668742593e+00	(5.62723324454092e+01dB,-2.07398316305042e+00°)
1.34276496113786e+00	(5.62723056072033e+01dB,-2.07875985683413e+00°)
1.34586035405594e+00	(5.62722786452742e+01dB,-2.08354753150204e+00°)
1.34896288259164e+00	(5.62722515590847e+01dB,-2.08834621367806e+00°)
1.35207256319427e+00	(5.62722243480303e+01dB,-2.09315592699631e+00°)
1.35518941235103e+00	(5.62721970115472e+01dB,-2.09797669743208e+00°)
1.35831344658715e+00	(5.62721695490469e+01dB,-2.10280854949428e+00°)
1.36144468246594e+00	(5.62721419599823e+01dB,-2.10765151003325e+00°)
1.36458313658892e+00	(5.62721142437415e+01dB,-2.11250560367158e+00°)
1.36772882559584e+00	(5.62720863997320e+01dB,-2.11737085432730e+00°)
1.37088176616484e+00	(5.62720584273912e+01dB,-2.12224729054499e+00°)
1.37404197501251e+00	(5.62720303261173e+01dB,-2.12713493559557e+00°)
1.37720946889394e+00	(5.62720020953206e+01dB,-2.13203381585360e+00°)
1.38038426460288e+00	(5.62719737344012e+01dB,-2.13694395622804e+00°)
