"TIME","CH2","CH3","CH4"
-1.9048e-02,-0.14,0.0004,1.02
-1.9044e-02,-0.14,0.0006,0.86
-1.9040e-02,-0.132,0.0004,0.82
-1.9036e-02,-0.132,0.0002,0.84
-1.9032e-02,-0.128,0.0008,0.92
-1.9028e-02,-0.136,0.0008,0.96
-1.9024e-02,-0.136,0.0012,0.9
-1.9020e-02,-0.136,0.001,0.88
-1.9016e-02,-0.132,0.0014,0.94
-1.9012e-02,-0.136,0.0014,0.84
-1.9008e-02,-0.132,0.0008,0.86
-1.9004e-02,-0.136,0.0008,0.92
-1.9000e-02,-0.128,0.0006,0.86
-1.8996e-02,-0.136,0.0004,0.86
-1.8992e-02,-0.136,0.0004,0.86
-1.8988e-02,-0.128,0.0004,0.9
-1.8984e-02,-0.128,0.0008,0.88
-1.8980e-02,-0.128,0.0002,0.82
-1.8976e-02,-0.136,-0.0002,0.82
-1.8972e-02,-0.14,0.0006,0.88
-1.8968e-02,-0.14,0.0006,0.88
-1.8964e-02,-0.128,0.0008,0.84
-1.8960e-02,-0.132,0.001,0.88
-1.8956e-02,-0.136,0.0012,0.82
-1.8952e-02,-0.136,0.0008,0.88
-1.8948e-02,-0.144,0.001,0.8
-1.8944e-02,-0.132,0.0004,0.88
-1.8940e-02,-0.14,0.0002,0.86
-1.8936e-02,-0.14,0.0012,0.88
-1.8932e-02,-0.128,0.001,0.88
-1.8928e-02,-0.132,0.0008,0.86
-1.8924e-02,-0.128,0.0008,0.88
-1.8920e-02,-0.14,-2.84217e-18,0.84
-1.8916e-02,-0.14,0.0004,0.88
-1.8912e-02,-0.144,0.0014,0.92
-1.8908e-02,-0.132,0.0006,0.84
-1.8904e-02,-0.14,0.0002,0.86
-1.8900e-02,-0.136,0.0002,0.84
-1.8896e-02,-0.14,0.0004,0.92
-1.8892e-02,-0.136,0.0008,0.84
-1.8888e-02,-0.128,0.0006,0.9
-1.8884e-02,-0.136,0.0008,0.86
-1.8880e-02,-0.132,0.0006,0.86
-1.8876e-02,-0.14,0.0008,0.86
-1.8872e-02,-0.132,0.0012,0.84
-1.8868e-02,-0.128,0.0004,0.84
-1.8864e-02,-0.132,0.002,0.88
-1.8860e-02,-0.132,0.0014,0.9
-1.8856e-02,-0.128,0.001,0.9
-1.8852e-02,-0.14,0.0016,0.9
-1.8848e-02,-0.144,0.0008,0.92
-1.8844e-02,-0.124,0.0008,0.9
-1.8840e-02,-0.14,0.0006,0.88
-1.8836e-02,-0.132,0.0002,0.88
-1.8832e-02,-0.136,0.0008,0.86
-1.8828e-02,-0.136,0.0004,0.88
-1.8824e-02,-0.14,0.0012,0.88
-1.8820e-02,-0.132,0.0012,0.9
-1.8816e-02,-0.136,0.0016,0.88
-1.8812e-02,-0.132,0.0006,0.84
-1.8808e-02,-0.128,0.0012,0.88
-1.8804e-02,-0.14,0.0008,0.86
-1.8800e-02,-0.128,0.0008,0.86
-1.8796e-02,-0.152,0.0008,0.84
-1.8792e-02,-0.136,0.002,0.92
-1.8788e-02,-0.136,0.0014,0.88
-1.8784e-02,-0.136,0.001,0.94
-1.8780e-02,-0.148,0.0008,0.88
-1.8776e-02,-0.136,0.0006,0.88
-1.8772e-02,-0.144,0.0014,0.9
-1.8768e-02,-0.14,0.0012,0.84
-1.8764e-02,-0.132,0.0006,0.8
-1.8760e-02,-0.132,0.0008,0.92
-1.8756e-02,-0.14,0.001,0.9
-1.8752e-02,-0.14,0.0014,0.86
-1.8748e-02,-0.14,0.001,0.9
-1.8744e-02,-0.132,0.0016,0.86
-1.8740e-02,-0.14,0.0014,0.8
-1.8736e-02,-0.136,0.001,0.9
-1.8732e-02,-0.136,0.0012,0.82
-1.8728e-02,-0.132,0.0014,0.88
-1.8724e-02,-0.136,0.0008,0.86
-1.8720e-02,-0.132,0.0016,0.92
-1.8716e-02,-0.132,0.0014,0.82
-1.8712e-02,-0.136,0.0012,0.84
-1.8708e-02,-0.144,0.0018,0.9
-1.8704e-02,-0.144,0.0018,0.8
-1.8700e-02,-0.14,0.0022,0.82
-1.8696e-02,-0.14,0.0024,0.88
-1.8692e-02,-0.132,0.002,0.94
-1.8688e-02,-0.148,0.0014,0.88
-1.8684e-02,-0.136,0.0016,0.88
-1.8680e-02,-0.132,0.0016,0.82
-1.8676e-02,-0.136,0.001,0.86
-1.8672e-02,-0.14,0.0006,0.84
-1.8668e-02,-0.136,0.0004,0.84
-1.8664e-02,-0.136,0.0016,0.88
-1.8660e-02,-0.136,0.0006,0.9
-1.8656e-02,-0.14,0.001,0.88
-1.8652e-02,-0.144,0.001,0.86
-1.8648e-02,-0.128,0.0004,0.84
-1.8644e-02,-0.144,0.0012,0.88
-1.8640e-02,-0.136,0.001,0.82
-1.8636e-02,-0.148,0.0006,0.86
-1.8632e-02,-0.136,0.0008,0.86
-1.8628e-02,-0.144,0.0006,0.86
-1.8624e-02,-0.14,0.0012,0.9
-1.8620e-02,-0.132,0.0008,0.94
-1.8616e-02,-0.132,0.0012,0.88
-1.8612e-02,-0.148,0.0008,0.86
-1.8608e-02,-0.136,0.0012,0.9
-1.8604e-02,-0.14,0.0008,0.9
-1.8600e-02,-0.144,0.001,0.92
-1.8596e-02,-0.144,0.0012,0.88
-1.8592e-02,-0.152,0.0012,0.94
-1.8588e-02,-0.136,0.0008,0.88
-1.8584e-02,-0.14,0.0002,0.84
-1.8580e-02,-0.136,0.0004,0.84
-1.8576e-02,-0.136,0.001,0.9
-1.8572e-02,-0.14,0.0006,0.88
-1.8568e-02,-0.14,0.0012,0.86
-1.8564e-02,-0.14,0.0014,0.82
-1.8560e-02,-0.14,0.0008,0.92
-1.8556e-02,-0.136,0.001,0.88
-1.8552e-02,-0.14,0.0008,0.88
-1.8548e-02,-0.152,0.0014,0.9
-1.8544e-02,-0.152,0.0008,0.88
-1.8540e-02,-0.144,0.0006,0.88
-1.8536e-02,-0.148,0.0008,0.88
-1.8532e-02,-0.144,0.0012,0.88
-1.8528e-02,-0.14,0.0012,0.88
-1.8524e-02,-0.144,0.0008,0.82
-1.8520e-02,-0.152,0.0018,0.9
-1.8516e-02,-0.152,0.0006,0.92
-1.8512e-02,-0.14,0.0008,0.88
-1.8508e-02,-0.144,0.0012,0.82
-1.8504e-02,-0.144,0.0012,0.86
-1.8500e-02,-0.144,0.0014,0.84
-1.8496e-02,-0.144,0.0012,0.88
-1.8492e-02,-0.144,0.0002,0.9
-1.8488e-02,-0.14,0.0006,0.9
-1.8484e-02,-0.132,0.0008,0.94
-1.8480e-02,-0.14,0.0008,0.88
-1.8476e-02,-0.14,0.0002,0.9
-1.8472e-02,-0.136,0.0004,0.86
-1.8468e-02,-0.14,0.0008,0.88
-1.8464e-02,-0.14,0.0016,0.9
-1.8460e-02,-0.148,0.0006,0.92
-1.8456e-02,-0.14,0.001,0.88
-1.8452e-02,-0.144,0.0008,0.9
-1.8448e-02,-0.136,0.0014,0.9
-1.8444e-02,-0.148,0.0006,0.92
-1.8440e-02,-0.144,0.0006,0.82
-1.8436e-02,-0.148,0.0012,0.86
-1.8432e-02,-0.144,0.0016,0.94
-1.8428e-02,-0.14,0.0002,0.86
-1.8424e-02,-0.148,0.0012,0.88
-1.8420e-02,-0.148,0.0014,0.82
-1.8416e-02,-0.144,0.0008,0.84
-1.8412e-02,-0.144,0.0006,0.86
-1.8408e-02,-0.14,0.0002,0.88
-1.8404e-02,-0.14,0.0008,0.8
-1.8400e-02,-0.14,0.0008,0.86
-1.8396e-02,-0.14,0.001,0.92
-1.8392e-02,-0.14,0.0016,0.88
-1.8388e-02,-0.14,0.0004,0.88
-1.8384e-02,-0.148,0.0016,0.9
-1.8380e-02,-0.148,0.0008,0.88
-1.8376e-02,-0.148,0.0004,0.9
-1.8372e-02,-0.148,0.0006,0.86
-1.8368e-02,-0.136,-0.0002,0.88
-1.8364e-02,-0.148,0.0012,0.82
-1.8360e-02,-0.14,0.0008,0.88
-1.8356e-02,-0.14,0.0014,0.92
-1.8352e-02,-0.148,0.0018,0.86
-1.8348e-02,-0.148,0.0012,0.82
-1.8344e-02,-0.152,0.0008,0.84
-1.8340e-02,-0.152,0.0012,0.9
-1.8336e-02,-0.148,0.0008,0.9
-1.8332e-02,-0.144,0.001,0.86
-1.8328e-02,-0.144,0.001,0.9
-1.8324e-02,-0.144,0.0008,0.84
-1.8320e-02,-0.148,0.0008,0.9
-1.8316e-02,-0.144,0.0006,0.82
-1.8312e-02,-0.144,0.0016,0.92
-1.8308e-02,-0.148,0.0006,0.88
-1.8304e-02,-0.148,0.0008,0.84
-1.8300e-02,-0.148,0.0004,0.88
-1.8296e-02,-0.14,0.0012,0.84
-1.8292e-02,-0.152,0.0004,0.86
-1.8288e-02,-0.156,0.0008,0.94
-1.8284e-02,-0.148,0.0012,0.82
-1.8280e-02,-0.14,0.0016,0.9
-1.8276e-02,-0.148,0.0014,0.88
-1.8272e-02,-0.148,0.0008,0.9
-1.8268e-02,-0.144,0.0006,0.9
-1.8264e-02,-0.136,0.0014,0.86
-1.8260e-02,-0.152,0.0006,0.92
-1.8256e-02,-0.148,0.001,0.86
-1.8252e-02,-0.148,0.0014,0.82
-1.8248e-02,-0.144,0.0008,0.82
-1.8244e-02,-0.144,0.0006,0.88
-1.8240e-02,-0.144,0.0008,0.86
-1.8236e-02,-0.148,0.0012,0.9
-1.8232e-02,-0.144,0.0008,0.94
-1.8228e-02,-0.152,0.0002,0.9
-1.8224e-02,-0.148,0.0002,0.86
-1.8220e-02,-0.152,0.0002,0.88
-1.8216e-02,-0.152,0.0008,0.8
-1.8212e-02,-0.14,0.0006,0.96
-1.8208e-02,-0.144,0.0016,0.94
-1.8204e-02,-0.152,0.0008,0.94
-1.8200e-02,-0.152,0.001,0.86
-1.8196e-02,-0.148,0.0018,0.9
-1.8192e-02,-0.152,0.0008,0.88
-1.8188e-02,-0.148,0.0006,0.88
-1.8184e-02,-0.144,0.0008,0.9
-1.8180e-02,-0.148,0.0006,0.86
-1.8176e-02,-0.144,0.0002,0.92
-1.8172e-02,-0.148,0.0006,0.86
-1.8168e-02,-0.144,0.0014,0.9
-1.8164e-02,-0.152,0.0006,0.88
-1.8160e-02,-0.152,0.0012,0.9
-1.8156e-02,-0.152,0.0008,0.88
-1.8152e-02,-0.148,0.0008,0.8
-1.8148e-02,-0.148,0.0008,0.78
-1.8144e-02,-0.156,0.0002,0.9
-1.8140e-02,-0.156,0.0004,0.92
-1.8136e-02,-0.148,0.0006,0.96
-1.8132e-02,-0.144,0.0004,0.86
-1.8128e-02,-0.156,0.0004,0.86
-1.8124e-02,-0.156,0.0006,0.86
-1.8120e-02,-0.144,0.0008,0.88
-1.8116e-02,-0.148,0.0008,0.84
-1.8112e-02,-0.156,-2.84217e-18,0.9
-1.8108e-02,-0.16,0.0006,0.88
-1.8104e-02,-0.148,0.0004,0.86
-1.8100e-02,-0.152,0.0014,0.9
-1.8096e-02,-0.144,0.0008,0.9
-1.8092e-02,-0.152,0.0018,0.86
-1.8088e-02,-0.156,0.0014,0.84
-1.8084e-02,-0.16,0.0008,0.88
-1.8080e-02,-0.14,0.0008,0.84
-1.8076e-02,-0.14,0.0012,0.8
-1.8072e-02,-0.148,0.0008,0.9
-1.8068e-02,-0.148,0.0004,0.88
-1.8064e-02,-0.148,0.0006,0.86
-1.8060e-02,-0.152,0.0012,0.84
-1.8056e-02,-0.152,0.0004,0.82
-1.8052e-02,-0.14,0.0008,0.88
-1.8048e-02,-0.152,-2.84217e-18,0.9
-1.8044e-02,-0.156,0.001,0.8
-1.8040e-02,-0.152,0.0006,0.92
-1.8036e-02,-0.156,0.0012,0.84
-1.8032e-02,-0.156,0.0016,0.86
-1.8028e-02,-0.148,0.0014,0.92
-1.8024e-02,-0.156,0.0006,0.86
-1.8020e-02,-0.144,0.0002,0.9
-1.8016e-02,-0.148,0.0008,0.9
-1.8012e-02,-0.144,0.0012,0.84
-1.8008e-02,-0.144,0.0008,0.84
-1.8004e-02,-0.16,0.0016,0.84
