Freq.	V(vout)
2.29086765276777e+02	(-3.31759428059195e+01dB,-1.57338967185203e+02°)
2.34422881531992e+02	(-3.35473989604758e+01dB,-1.57810364232507e+02°)
2.39883291901949e+02	(-3.39199681504366e+01dB,-1.58274018480789e+02°)
2.45470891568503e+02	(-3.42936134866208e+01dB,-1.58729948392984e+02°)
2.51188643150958e+02	(-3.46682987948507e+01dB,-1.59178179660673e+02°)
2.57039578276886e+02	(-3.50439886434160e+01dB,-1.59618744800454e+02°)
2.63026799189538e+02	(-3.54206483664570e+01dB,-1.60051682754986e+02°)
2.69153480392691e+02	(-3.57982440834843e+01dB,-1.60477038500134e+02°)
2.75422870333816e+02	(-3.61767427152437e+01dB,-1.60894862659524e+02°)
2.81838293126445e+02	(-3.65561119961566e+01dB,-1.61305211127662e+02°)
2.88403150312660e+02	(-3.69363204835412e+01dB,-1.61708144702456e+02°)
2.95120922666638e+02	(-3.73173375638488e+01dB,-1.62103728728129e+02°)
3.01995172040201e+02	(-3.76991334561196e+01dB,-1.62492032749087e+02°)
3.09029543251358e+02	(-3.80816792128793e+01dB,-1.62873130175357e+02°)
3.16227766016837e+02	(-3.84649467186746e+01dB,-1.63247097960059e+02°)
3.23593656929628e+02	(-3.88489086864553e+01dB,-1.63614016289128e+02°)
3.31131121482590e+02	(-3.92335386519919e+01dB,-1.63973968283679e+02°)
3.38844156139202e+02	(-3.96188109665182e+01dB,-1.64327039715017e+02°)
3.46736850452531e+02	(-4.00047007877724e+01dB,-1.64673318732428e+02°)
3.54813389233575e+02	(-4.03911840696092e+01dB,-1.65012895603693e+02°)
3.63078054770101e+02	(-4.07782375503388e+01dB,-1.65345862468306e+02°)
3.71535229097172e+02	(-4.11658387399499e+01dB,-1.65672313103173e+02°)
3.80189396320560e+02	(-4.15539659063516e+01dB,-1.65992342700677e+02°)
3.89045144994280e+02	(-4.19425980607736e+01dB,-1.66306047658855e+02°)
3.98107170553496e+02	(-4.23317149424446e+01dB,-1.66613525383397e+02°)
4.07380277804112e+02	(-4.27212970026686e+01dB,-1.66914874101203e+02°)
4.16869383470335e+02	(-4.31113253883991e+01dB,-1.67210192685154e+02°)
4.26579518801592e+02	(-4.35017819254225e+01dB,-1.67499580489747e+02°)
4.36515832240165e+02	(-4.38926491012234e+01dB,-1.67783137197256e+02°)
4.46683592150962e+02	(-4.42839100476398e+01dB,-1.68060962674016e+02°)
4.57088189614874e+02	(-4.46755485233557e+01dB,-1.68333156836466e+02°)
4.67735141287197e+02	(-4.50675488963305e+01dB,-1.68599819526550e+02°)
4.78630092322637e+02	(-4.54598961262013e+01dB,-1.68861050396109e+02°)
4.89778819368445e+02	(-4.58525757467321e+01dB,-1.69116948799812e+02°)
5.01187233627271e+02	(-4.62455738483574e+01dB,-1.69367613696347e+02°)
5.12861383991364e+02	(-4.66388770608588e+01dB,-1.69613143557332e+02°)
5.24807460249771e+02	(-4.70324725362250e+01dB,-1.69853636283760e+02°)
5.37031796370251e+02	(-4.74263479317234e+01dB,-1.70089189129387e+02°)
5.49540873857623e+02	(-4.78204913932182e+01dB,-1.70319898630903e+02°)
5.62341325190348e+02	(-4.82148915387627e+01dB,-1.70545860544387e+02°)
5.75439937337155e+02	(-4.86095374424860e+01dB,-1.70767169787778e+02°)
5.88843655355587e+02	(-4.90044186187983e+01dB,-1.70983920388991e+02°)
6.02559586074356e+02	(-4.93995250069314e+01dB,-1.71196205439406e+02°)
6.16595001861481e+02	(-4.97948469558218e+01dB,-1.71404117052317e+02°)
6.30957344480192e+02	(-5.01903752093570e+01dB,-1.71607746326182e+02°)
6.45654229034654e+02	(-5.05861008919905e+01dB,-1.71807183312260e+02°)
6.60693448007594e+02	(-5.09820154947274e+01dB,-1.72002516986451e+02°)
6.76082975391980e+02	(-5.13781108614932e+01dB,-1.72193835225023e+02°)
6.91830970918935e+02	(-5.17743791758824e+01dB,-1.72381224783971e+02°)
