Freq.	V(vout)
4.67735141287197e+02	(-1.15207686682777e+01dB,-9.96803800216772e+00°)
4.78630092322637e+02	(-1.15265611480418e+01dB,-9.75376041879621e+00°)
4.89778819368445e+02	(-1.15321003402383e+01dB,-9.54427163174358e+00°)
5.01187233627271e+02	(-1.15373970357547e+01dB,-9.33948529741152e+00°)
5.12861383991364e+02	(-1.15424615925372e+01dB,-9.13931600153313e+00°)
5.24807460249771e+02	(-1.15473039507624e+01dB,-8.94367930930018e+00°)
5.37031796370251e+02	(-1.15519336476724e+01dB,-8.75249181046199e+00°)
5.49540873857623e+02	(-1.15563598320686e+01dB,-8.56567115989138e+00°)
5.62341325190348e+02	(-1.15605912784489e+01dB,-8.38313611375726e+00°)
5.75439937337155e+02	(-1.15646364007857e+01dB,-8.20480656165093e+00°)
5.88843655355587e+02	(-1.15685032659372e+01dB,-8.03060355488518e+00°)
6.02559586074356e+02	(-1.15721996066913e+01dB,-7.86044933126746e+00°)
6.16595001861481e+02	(-1.15757328344342e+01dB,-7.69426733648056e+00°)
6.30957344480192e+02	(-1.15791100514504e+01dB,-7.53198224243001e+00°)
6.45654229034654e+02	(-1.15823380628549e+01dB,-7.37351996266035e+00°)
6.60693448007594e+02	(-1.15854233881502e+01dB,-7.21880766511460e+00°)
6.76082975391980e+02	(-1.15883722724258e+01dB,-7.06777378239154e+00°)
6.91830970918935e+02	(-1.15911906971903e+01dB,-6.92034801967701e+00°)
7.07945784384136e+02	(-1.15938843908531e+01dB,-6.77646136060129e+00°)
7.24435960074988e+02	(-1.15964588388514e+01dB,-6.63604607105161e+00°)
7.41310241300916e+02	(-1.15989192934330e+01dB,-6.49903570123607e+00°)
7.58577575029182e+02	(-1.16012707831049e+01dB,-6.36536508604831e+00°)
7.76247116628690e+02	(-1.16035181217457e+01dB,-6.23497034389116e+00°)
7.94328234724279e+02	(-1.16056659173988e+01dB,-6.10778887413751e+00°)
8.12830516164097e+02	(-1.16077185807479e+01dB,-5.98375935328821e+00°)
8.31763771102669e+02	(-1.16096803332834e+01dB,-5.86282172995947e+00°)
8.51138038202374e+02	(-1.16115552151738e+01dB,-5.74491721885369e+00°)
8.70963589956078e+02	(-1.16133470928368e+01dB,-5.62998829372656e+00°)
8.91250938133743e+02	(-1.16150596662363e+01dB,-5.51797867953801e+00°)
9.12010839355907e+02	(-1.16166964758968e+01dB,-5.40883334381126e+00°)
9.33254300796988e+02	(-1.16182609096560e+01dB,-5.30249848731144e+00°)
9.54992586021433e+02	(-1.16197562091541e+01dB,-5.19892153411815e+00°)
9.77237220955808e+02	(-1.16211854760783e+01dB,-5.09805112115779e+00°)
9.99999999999997e+02	(-1.16225516781593e+01dB,-4.99983708727653e+00°)
1.02329299228075e+03	(-1.16238576549372e+01dB,-4.90423046189394e+00°)
1.04712854805090e+03	(-1.16251061233016e+01dB,-4.81118345333761e+00°)
1.07151930523760e+03	(-1.16262996828098e+01dB,-4.72064943685607e+00°)
1.09647819614318e+03	(-1.16274408207982e+01dB,-4.63258294242009e+00°)
1.12201845430196e+03	(-1.16285319172895e+01dB,-4.54693964232356e+00°)
1.14815362149688e+03	(-1.16295752497009e+01dB,-4.46367633863611e+00°)
1.17489755493953e+03	(-1.16305729973714e+01dB,-4.38275095054643e+00°)
1.20226443461741e+03	(-1.16315272459000e+01dB,-4.30412250166190e+00°)
1.23026877081238e+03	(-1.16324399913123e+01dB,-4.22775110724504e+00°)
1.25892541179416e+03	(-1.16333131440624e+01dB,-4.15359796148266e+00°)
1.28824955169313e+03	(-1.16341485328696e+01dB,-4.08162532476314e+00°)
1.31825673855640e+03	(-1.16349479084009e+01dB,-4.01179651102989e+00°)
