Freq.	V(vout)
3.38844156139202e+02	(-3.96188109611291e+01dB,-1.64327039714945e+02°)
3.46736850452531e+02	(-4.00047007823831e+01dB,-1.64673318732357e+02°)
3.54813389233575e+02	(-4.03911840642198e+01dB,-1.65012895603624e+02°)
3.63078054770101e+02	(-4.07782375449493e+01dB,-1.65345862468238e+02°)
3.71535229097172e+02	(-4.11658387345603e+01dB,-1.65672313103107e+02°)
3.80189396320560e+02	(-4.15539659009619e+01dB,-1.65992342700612e+02°)
3.89045144994280e+02	(-4.19425980553838e+01dB,-1.66306047658791e+02°)
3.98107170553496e+02	(-4.23317149370548e+01dB,-1.66613525383335e+02°)
4.07380277804112e+02	(-4.27212969972786e+01dB,-1.66914874101142e+02°)
4.16869383470335e+02	(-4.31113253830091e+01dB,-1.67210192685095e+02°)
4.26579518801592e+02	(-4.35017819200324e+01dB,-1.67499580489688e+02°)
4.36515832240165e+02	(-4.38926490958332e+01dB,-1.67783137197199e+02°)
4.46683592150962e+02	(-4.42839100422495e+01dB,-1.68060962673960e+02°)
4.57088189614874e+02	(-4.46755485179654e+01dB,-1.68333156836411e+02°)
4.67735141287197e+02	(-4.50675488909401e+01dB,-1.68599819526496e+02°)
4.78630092322637e+02	(-4.54598961208108e+01dB,-1.68861050396057e+02°)
4.89778819368445e+02	(-4.58525757413415e+01dB,-1.69116948799761e+02°)
5.01187233627271e+02	(-4.62455738429668e+01dB,-1.69367613696297e+02°)
5.12861383991364e+02	(-4.66388770554682e+01dB,-1.69613143557283e+02°)
5.24807460249771e+02	(-4.70324725308343e+01dB,-1.69853636283712e+02°)
5.37031796370251e+02	(-4.74263479263325e+01dB,-1.70089189129340e+02°)
5.49540873857623e+02	(-4.78204913878274e+01dB,-1.70319898630857e+02°)
5.62341325190348e+02	(-4.82148915333718e+01dB,-1.70545860544342e+02°)
5.75439937337155e+02	(-4.86095374370950e+01dB,-1.70767169787734e+02°)
5.88843655355587e+02	(-4.90044186134073e+01dB,-1.70983920388948e+02°)
6.02559586074356e+02	(-4.93995250015404e+01dB,-1.71196205439364e+02°)
6.16595001861481e+02	(-4.97948469504308e+01dB,-1.71404117052276e+02°)
6.30957344480192e+02	(-5.01903752039659e+01dB,-1.71607746326142e+02°)
6.45654229034654e+02	(-5.05861008865994e+01dB,-1.71807183312220e+02°)
6.60693448007594e+02	(-5.09820154893362e+01dB,-1.72002516986412e+02°)
6.76082975391980e+02	(-5.13781108561020e+01dB,-1.72193835224985e+02°)
6.91830970918935e+02	(-5.17743791704911e+01dB,-1.72381224783934e+02°)
7.07945784384136e+02	(-5.21708129429022e+01dB,-1.72564771281817e+02°)
7.24435960074988e+02	(-5.25674049980543e+01dB,-1.72744559185700e+02°)
7.41310241300916e+02	(-5.29641484628852e+01dB,-1.72920671800135e+02°)
7.58577575029182e+02	(-5.33610367548329e+01dB,-1.73093191258880e+02°)
7.76247116628690e+02	(-5.37580635704894e+01dB,-1.73262198519169e+02°)
7.94328234724279e+02	(-5.41552228746283e+01dB,-1.73427773358419e+02°)
8.12830516164097e+02	(-5.45525088895996e+01dB,-1.73589994373109e+02°)
8.31763771102669e+02	(-5.49499160850827e+01dB,-1.73748938979721e+02°)
8.51138038202374e+02	(-5.53474391681996e+01dB,-1.73904683417596e+02°)
8.70963589956078e+02	(-5.57450730739672e+01dB,-1.74057302753502e+02°)
8.91250938133743e+02	(-5.61428129560986e+01dB,-1.74206870887851e+02°)
9.12010839355907e+02	(-5.65406541781309e+01dB,-1.74353460562376e+02°)
9.33254300796988e+02	(-5.69385923048826e+01dB,-1.74497143369182e+02°)
9.54992586021433e+02	(-5.73366230942232e+01dB,-1.74637989761043e+02°)
9.77237220955808e+02	(-5.77347424891570e+01dB,-1.74776069062840e+02°)
9.99999999999997e+02	(-5.81329466102017e+01dB,-1.74911449484048e+02°)
1.02329299228075e+03	(-5.85312317480630e+01dB,-1.75044198132163e+02°)
1.04712854805090e+03	(-5.89295943565925e+01dB,-1.75174381027015e+02°)
1.07151930523760e+03	(-5.93280310460173e+01dB,-1.75302063115826e+02°)
1.09647819614318e+03	(-5.97265385764414e+01dB,-1.75427308289017e+02°)
1.12201845430196e+03	(-6.01251138516031e+01dB,-1.75550179396625e+02°)
1.14815362149688e+03	(-6.05237539128804e+01dB,-1.75670738265302e+02°)
1.17489755493953e+03	(-6.09224559335464e+01dB,-1.75789045715813e+02°)
1.20226443461741e+03	(-6.13212172132505e+01dB,-1.75905161581015e+02°)
1.23026877081238e+03	(-6.17200351727299e+01dB,-1.76019144724209e+02°)
1.25892541179416e+03	(-6.21189073487422e+01dB,-1.76131053057868e+02°)
1.28824955169313e+03	(-6.25178313892057e+01dB,-1.76240943562666e+02°)
1.31825673855640e+03	(-6.29168050485445e+01dB,-1.76348872306774e+02°)
1.34896288259165e+03	(-6.33158261832342e+01dB,-1.76454894465403e+02°)
1.38038426460288e+03	(-6.37148927475317e+01dB,-1.76559064340526e+02°)
1.41253754462275e+03	(-6.41140027893929e+01dB,-1.76661435380777e+02°)
1.44543977074592e+03	(-6.45131544465647e+01dB,-1.76762060201483e+02°)
1.47910838816820e+03	(-6.49123459428495e+01dB,-1.76860990604817e+02°)
1.51356124843620e+03	(-6.53115755845299e+01dB,-1.76958277600005e+02°)
1.54881661891248e+03	(-6.57108417569555e+01dB,-1.77053971423655e+02°)
1.58489319246111e+03	(-6.61101429212814e+01dB,-1.77148121560076e+02°)
1.62181009735892e+03	(-6.65094776113498e+01dB,-1.77240776761651e+02°)
1.65958690743755e+03	(-6.69088444307181e+01dB,-1.77331985069223e+02°)
1.69824365246174e+03	(-6.73082420498209e+01dB,-1.77421793832481e+02°)
1.73780082874937e+03	(-6.77076692032614e+01dB,-1.77510249730313e+02°)
1.77827941003892e+03	(-6.81071246872324e+01dB,-1.77597398791160e+02°)
1.81970085860998e+03	(-6.85066073570588e+01dB,-1.77683286413320e+02°)
1.86208713666286e+03	(-6.89061161248525e+01dB,-1.77767957385218e+02°)
1.90546071796324e+03	(-6.93056499572874e+01dB,-1.77851455905620e+02°)
1.94984459975804e+03	(-6.97052078734812e+01dB,-1.77933825603801e+02°)
1.99526231496887e+03	(-7.01047889429801e+01dB,-1.78015109559654e+02°)
2.04173794466952e+03	(-7.05043922838432e+01dB,-1.78095350323731e+02°)
2.08929613085403e+03	(-7.09040170608348e+01dB,-1.78174589937227e+02°)
2.13796208950222e+03	(-7.13036624836986e+01dB,-1.78252869951902e+02°)
2.18776162394954e+03	(-7.17033278055323e+01dB,-1.78330231449921e+02°)
2.23872113856833e+03	(-7.21030123212467e+01dB,-1.78406715063659e+02°)
2.29086765276776e+03	(-7.25027153661082e+01dB,-1.78482360995408e+02°)
2.34422881531991e+03	(-7.29024363143713e+01dB,-1.78557209037055e+02°)
2.39883291901948e+03	(-7.33021745779806e+01dB,-1.78631298589676e+02°)
2.45470891568502e+03	(-7.37019296053603e+01dB,-1.78704668683083e+02°)
2.51188643150957e+03	(-7.41017008802734e+01dB,-1.78777357995338e+02°)
2.57039578276885e+03	(-7.45014879207546e+01dB,-1.78849404872190e+02°)
2.63026799189537e+03	(-7.49012902781145e+01dB,-1.78920847346493e+02°)
2.69153480392690e+03	(-7.53011075360170e+01dB,-1.78991723157587e+02°)
2.75422870333815e+03	(-7.57009393096154e+01dB,-1.79062069770634e+02°)
2.81838293126444e+03	(-7.61007852447643e+01dB,-1.79131924395971e+02°)
2.88403150312659e+03	(-7.65006450172880e+01dB,-1.79201324008397e+02°)
2.95120922666637e+03	(-7.69005183323177e+01dB,-1.79270305366512e+02°)
3.01995172040200e+03	(-7.73004049236842e+01dB,-1.79338905032005e+02°)
3.09029543251358e+03	(-7.77003045533798e+01dB,-1.79407159389015e+02°)
3.16227766016836e+03	(-7.81002170110710e+01dB,-1.79475104663459e+02°)
3.23593656929627e+03	(-7.85001421136752e+01dB,-1.79542776942435e+02°)
3.31131121482590e+03	(-7.89000797049960e+01dB,-1.79610212193652e+02°)
3.38844156139201e+03	(-7.93000296554133e+01dB,-1.79677446284928e+02°)
3.46736850452530e+03	(-7.96999918616319e+01dB,-1.79744515003748e+02°)
3.54813389233574e+03	(-8.00999662464866e+01dB,-1.79811454076904e+02°)
3.63078054770100e+03	(-8.04999527588055e+01dB,-1.79878299190260e+02°)
3.71535229097171e+03	(-8.08999513733259e+01dB,-1.79945086008580e+02°)
3.80189396320559e+03	(-8.12999620906725e+01dB,1.79988149804465e+02°)
3.89045144994279e+03	(-8.16999849373848e+01dB,1.79921372566199e+02°)
3.98107170553495e+03	(-8.21000199660115e+01dB,1.79854546554633e+02°)
4.07380277804111e+03	(-8.25000672552501e+01dB,1.79787635988031e+02°)
4.16869383470333e+03	(-8.29001269101581e+01dB,1.79720605004224e+02°)
4.26579518801591e+03	(-8.33001990624120e+01dB,1.79653417639776e+02°)
4.36515832240164e+03	(-8.37002838706316e+01dB,1.79586037808861e+02°)
4.46683592150961e+03	(-8.41003815207649e+01dB,1.79518429281919e+02°)
4.57088189614873e+03	(-8.45004922265330e+01dB,1.79450555664009e+02°)
4.67735141287196e+03	(-8.49006162299412e+01dB,1.79382380372887e+02°)
4.78630092322636e+03	(-8.53007538018531e+01dB,1.79313866616741e+02°)
4.89778819368444e+03	(-8.57009052426331e+01dB,1.79244977371589e+02°)
5.01187233627270e+03	(-8.61010708828545e+01dB,1.79175675358268e+02°)
5.12861383991362e+03	(-8.65012510840834e+01dB,1.79105923019081e+02°)
5.24807460249770e+03	(-8.69014462397321e+01dB,1.79035682493927e+02°)
5.37031796370250e+03	(-8.73016567759893e+01dB,1.78964915596028e+02°)
5.49540873857622e+03	(-8.77018831528306e+01dB,1.78893583787112e+02°)
5.62341325190346e+03	(-8.81021258651057e+01dB,1.78821648152084e+02°)
5.75439937337154e+03	(-8.85023854437206e+01dB,1.78749069373108e+02°)
5.88843655355586e+03	(-8.89026624568941e+01dB,1.78675807703081e+02°)
6.02559586074354e+03	(-8.93029575115210e+01dB,1.78601822938450e+02°)
6.16595001861479e+03	(-8.97032712546218e+01dB,1.78527074391319e+02°)
6.30957344480190e+03	(-9.01036043749010e+01dB,1.78451520860822e+02°)
6.45654229034652e+03	(-9.05039576044046e+01dB,1.78375120603685e+02°)
6.60693448007592e+03	(-9.09043317202937e+01dB,1.78297831303937e+02°)
6.76082975391978e+03	(-9.13047275467350e+01dB,1.78219610041732e+02°)
6.91830970918932e+03	(-9.17051459569122e+01dB,1.78140413261161e+02°)
7.07945784384134e+03	(-9.21055878751713e+01dB,1.78060196737082e+02°)
7.24435960074986e+03	(-9.25060542792947e+01dB,1.77978915540809e+02°)
7.41310241300913e+03	(-9.29065462029311e+01dB,1.77896524004658e+02°)
7.58577575029179e+03	(-9.33070647381701e+01dB,1.77812975685212e+02°)
7.76247116628687e+03	(-9.37076110382809e+01dB,1.77728223325291e+02°)
7.94328234724277e+03	(-9.41081863206227e+01dB,1.77642218814473e+02°)
8.12830516164094e+03	(-9.45087918697370e+01dB,1.77554913148108e+02°)
8.31763771102666e+03	(-9.49094290406323e+01dB,1.77466256384734e+02°)
8.51138038202371e+03	(-9.53100992622729e+01dB,1.77376197601751e+02°)
8.70963589956075e+03	(-9.57108040412870e+01dB,1.77284684849289e+02°)
8.91250938133740e+03	(-9.61115449659052e+01dB,1.77191665102072e+02°)
9.12010839355904e+03	(-9.65123237101446e+01dB,1.77097084209267e+02°)
