Freq.	V(vout)
9.77237220955808e+02	(-5.77348193074227e+01dB,-1.74779725708303e+02°)
9.99999999999997e+02	(-5.81330235941010e+01dB,-1.74915191684413e+02°)
1.02329299228075e+03	(-5.85313089054536e+01dB,-1.75048027871527e+02°)
1.04712854805090e+03	(-5.89296716957003e+01dB,-1.75178300335879e+02°)
1.07151930523760e+03	(-5.93281085754539e+01dB,-1.75306074072176e+02°)
1.09647819614318e+03	(-5.97266163052218e+01dB,-1.75431413019422e+02°)
1.12201845430196e+03	(-6.01251917891654e+01dB,-1.75554380077365e+02°)
1.14815362149688e+03	(-6.05238320691055e+01dB,-1.75675037123520e+02°)
1.17489755493953e+03	(-6.09225343187788e+01dB,-1.75793445030697e+02°)
1.20226443461741e+03	(-6.13212958383209e+01dB,-1.75909663685007e+02°)
1.23026877081238e+03	(-6.17201140489776e+01dB,-1.76023752004237e+02°)
1.25892541179416e+03	(-6.21189864880392e+01dB,-1.76135767956615e+02°)
1.28824955169313e+03	(-6.25179108039821e+01dB,-1.76245768579861e+02°)
1.31825673855640e+03	(-6.29168847518145e+01dB,-1.76353810000520e+02°)
1.34896288259165e+03	(-6.33159061886244e+01dB,-1.76459947453531e+02°)
1.38038426460288e+03	(-6.37149730693091e+01dB,-1.76564235301979e+02°)
1.41253754462275e+03	(-6.41140834424958e+01dB,-1.76666727057035e+02°)
1.44543977074592e+03	(-6.45132354466341e+01dB,-1.76767475398011e+02°)
1.47910838816820e+03	(-6.49124273062624e+01dB,-1.76866532192553e+02°)
1.51356124843620e+03	(-6.53116573284341e+01dB,-1.76963948516882e+02°)
1.54881661891248e+03	(-6.57109238993059e+01dB,-1.77059774676155e+02°)
1.58489319246111e+03	(-6.61102254808779e+01dB,-1.77154060224823e+02°)
1.62181009735892e+03	(-6.65095606078772e+01dB,-1.77246853987043e+02°)
1.65958690743755e+03	(-6.69089278847885e+01dB,-1.77338204077098e+02°)
1.69824365246174e+03	(-6.73083259830163e+01dB,-1.77428157919822e+02°)
1.73780082874937e+03	(-6.77077536381806e+01dB,-1.77516762270995e+02°)
1.77827941003892e+03	(-6.81072096475383e+01dB,-1.77604063237741e+02°)
1.81970085860998e+03	(-6.85066928675284e+01dB,-1.77690106298862e+02°)
1.86208713666286e+03	(-6.89062022114301e+01dB,-1.77774936325163e+02°)
1.90546071796324e+03	(-6.93057366471390e+01dB,-1.77858597599700e+02°)
1.94984459975804e+03	(-6.97052951950526e+01dB,-1.77941133838004e+02°)
1.99526231496887e+03	(-7.01048769260570e+01dB,-1.78022588208218e+02°)
2.04173794466952e+03	(-7.05044809596147e+01dB,-1.78103003351207e+02°)
2.08929613085403e+03	(-7.09041064619588e+01dB,-1.78182421400568e+02°)
2.13796208950222e+03	(-7.13037526443719e+01dB,-1.78260884002613e+02°)
2.18776162394954e+03	(-7.17034187615626e+01dB,-1.78338432336259e+02°)
2.23872113856833e+03	(-7.21031041101287e+01dB,-1.78415107132879e+02°)
2.29086765276776e+03	(-7.25028080271032e+01dB,-1.78490948696061e+02°)
2.34422881531991e+03	(-7.29025298885906e+01dB,-1.78565996921345e+02°)
2.39883291901948e+03	(-7.33022691084726e+01dB,-1.78640291315868e+02°)
2.45470891568502e+03	(-7.37020251372014e+01dB,-1.78713871017968e+02°)
2.51188643150957e+03	(-7.41017974606642e+01dB,-1.78786774816750e+02°)
2.57039578276885e+03	(-7.45015855991195e+01dB,-1.78859041171591e+02°)
2.63026799189537e+03	(-7.49013891062072e+01dB,-1.78930708231611e+02°)
2.69153480392690e+03	(-7.53012075680294e+01dB,-1.79001813855113e+02°)
2.75422870333815e+03	(-7.57010406022937e+01dB,-1.79072395628992e+02°)
2.81838293126444e+03	(-7.61008878575278e+01dB,-1.79142490888138e+02°)
2.88403150312659e+03	(-7.65007490123567e+01dB,-1.79212136734802e+02°)
2.95120922666637e+03	(-7.69006237748434e+01dB,-1.79281370057992e+02°)
3.01995172040200e+03	(-7.73005118818884e+01dB,-1.79350227552832e+02°)
3.09029543251358e+03	(-7.77004130986996e+01dB,-1.79418745739998e+02°)
3.16227766016836e+03	(-7.81003272183093e+01dB,-1.79486960985109e+02°)
3.23593656929627e+03	(-7.85002540611603e+01dB,-1.79554909518213e+02°)
3.31131121482590e+03	(-7.89001934747472e+01dB,-1.79622627453282e+02°)
3.38844156139201e+03	(-7.93001453333148e+01dB,-1.79690150807793e+02°)
3.46736850452530e+03	(-7.97001095376158e+01dB,-1.79757515522362e+02°)
3.54813389233574e+03	(-8.01000860147223e+01dB,-1.79824757480464e+02°)
3.63078054770100e+03	(-8.05000747179007e+01dB,-1.79891912528285e+02°)
3.71535229097171e+03	(-8.09000756265349e+01dB,-1.79959016494621e+02°)
3.80189396320559e+03	(-8.13000887461155e+01dB,1.79973894789014e+02°)
3.89045144994279e+03	(-8.17001141082774e+01dB,1.79906785468216e+02°)
3.98107170553495e+03	(-8.21001517709045e+01dB,1.79839619645282e+02°)
4.07380277804111e+03	(-8.25002018182814e+01dB,1.79772361358691e+02°)
