"TIME","CH1","CH2"
-1.2006e-01,0.398,-0.24
-1.2004e-01,0.386,-0.24
-1.2002e-01,0.392,-0.244
-1.2000e-01,0.394,-0.246
-1.1998e-01,0.39,-0.24
-1.1996e-01,0.39,-0.242
-1.1994e-01,0.396,-0.244
-1.1992e-01,0.392,-0.246
-1.1990e-01,0.396,-0.244
-1.1988e-01,0.398,-0.248
-1.1986e-01,0.394,-0.236
-1.1984e-01,0.388,-0.244
-1.1982e-01,0.394,-0.244
-1.1980e-01,0.39,-0.244
-1.1978e-01,0.392,-0.248
-1.1976e-01,0.39,-0.242
-1.1974e-01,0.394,-0.246
-1.1972e-01,0.394,-0.24
-1.1970e-01,0.39,-0.244
-1.1968e-01,0.396,-0.254
-1.1966e-01,0.388,-0.242
-1.1964e-01,0.384,-0.246
-1.1962e-01,0.388,-0.24
-1.1960e-01,0.392,-0.244
-1.1958e-01,0.39,-0.242
-1.1956e-01,0.39,-0.242
-1.1954e-01,0.39,-0.24
-1.1952e-01,0.394,-0.24
-1.1950e-01,0.388,-0.246
-1.1948e-01,0.392,-0.244
-1.1946e-01,0.392,-0.242
-1.1944e-01,0.39,-0.242
-1.1942e-01,0.388,-0.248
-1.1940e-01,0.394,-0.246
-1.1938e-01,0.39,-0.244
-1.1936e-01,0.392,-0.242
-1.1934e-01,0.388,-0.244
-1.1932e-01,0.4,-0.242
-1.1930e-01,0.396,-0.248
-1.1928e-01,0.392,-0.242
-1.1926e-01,0.39,-0.242
-1.1924e-01,0.388,-0.252
-1.1922e-01,0.398,-0.248
-1.1920e-01,0.388,-0.244
-1.1918e-01,0.39,-0.248
-1.1916e-01,0.392,-0.24
-1.1914e-01,0.39,-0.248
-1.1912e-01,0.392,-0.246
-1.1910e-01,0.39,-0.246
-1.1908e-01,0.39,-0.246
-1.1906e-01,0.392,-0.248
-1.1904e-01,0.386,-0.246
-1.1902e-01,0.392,-0.246
-1.1900e-01,0.4,-0.248
-1.1898e-01,0.398,-0.248
-1.1896e-01,0.39,-0.25
-1.1894e-01,0.39,-0.244
-1.1892e-01,0.392,-0.246
-1.1890e-01,0.398,-0.24
-1.1888e-01,0.394,-0.246
-1.1886e-01,0.392,-0.244
-1.1884e-01,0.388,-0.25
-1.1882e-01,0.396,-0.248
-1.1880e-01,0.392,-0.248
-1.1878e-01,0.39,-0.252
-1.1876e-01,0.39,-0.242
-1.1874e-01,0.394,-0.25
-1.1872e-01,0.392,-0.248
-1.1870e-01,0.388,-0.25
-1.1868e-01,0.394,-0.246
-1.1866e-01,0.392,-0.248
-1.1864e-01,0.39,-0.248
-1.1862e-01,0.39,-0.248
-1.1860e-01,0.392,-0.252
-1.1858e-01,0.386,-0.244
