"TIME","CH3","CH4"
-6.7730e-02,0.016,0.024
-6.7720e-02,0.014,0.016
-6.7710e-02,0.008,0.012
-6.7700e-02,0.016,0.02
-6.7690e-02,0.014,0.022
-6.7680e-02,0.026,0.02
-6.7670e-02,0.018,0.02
-6.7660e-02,0.014,0.016
-6.7650e-02,0.016,0.016
-6.7640e-02,0.016,0.02
-6.7630e-02,0.014,0.018
-6.7620e-02,0.014,0.022
-6.7610e-02,0.012,0.016
-6.7600e-02,0.014,0.02
-6.7590e-02,0.014,0.02
-6.7580e-02,0.016,0.016
-6.7570e-02,0.016,0.014
-6.7560e-02,0.01,0.014
-6.7550e-02,0.012,0.022
-6.7540e-02,0.02,0.018
-6.7530e-02,0.016,0.018
-6.7520e-02,0.014,0.016
-6.7510e-02,0.012,0.014
-6.7500e-02,0.02,0.018
-6.7490e-02,0.012,0.014
-6.7480e-02,0.012,0.01
-6.7470e-02,0.012,0.014
-6.7460e-02,0.018,0.02
-6.7450e-02,0.014,0.01
-6.7440e-02,0.012,0.01
-6.7430e-02,0.016,0.014
-6.7420e-02,0.014,0.01
-6.7410e-02,0.008,0.014
-6.7400e-02,0.016,0.012
-6.7390e-02,0.018,0.008
-6.7380e-02,0.008,0.016
-6.7370e-02,0.02,0.012
-6.7360e-02,0.012,0.012
-6.7350e-02,0.016,0.01
-6.7340e-02,0.018,0.014
-6.7330e-02,0.012,0.01
-6.7320e-02,0.014,0.004
-6.7310e-02,0.014,0.02
-6.7300e-02,0.012,0.014
-6.7290e-02,0.008,0.008
-6.7280e-02,0.012,0.016
-6.7270e-02,0.016,0.014
-6.7260e-02,0.014,0.014
-6.7250e-02,0.018,0.014
-6.7240e-02,0.016,0.014
-6.7230e-02,0.014,0.014
-6.7220e-02,0.016,0.018
-6.7210e-02,0.016,0.008
-6.7200e-02,0.006,0.006
-6.7190e-02,0.016,0.014
-6.7180e-02,0.018,0.01
-6.7170e-02,0.016,0.008
-6.7160e-02,0.008,0.006
-6.7150e-02,0.014,0.014
-6.7140e-02,0.016,0.01
-6.7130e-02,0.016,0.014
-6.7120e-02,0.012,0.012
-6.7110e-02,0.022,0.014
-6.7100e-02,0.014,0.014
-6.7090e-02,0.02,0.006
-6.7080e-02,0.012,0.014
-6.7070e-02,0.016,0.008
-6.7060e-02,0.016,0.006
-6.7050e-02,0.02,0.01
-6.7040e-02,0.014,0.014
-6.7030e-02,0.016,0.008
-6.7020e-02,0.02,0.014
-6.7010e-02,0.016,0.006
-6.7000e-02,0.008,0.012
-6.6990e-02,0.016,0.006
-6.6980e-02,0.018,0.006
-6.6970e-02,0.012,0.006
-6.6960e-02,0.014,0.006
-6.6950e-02,0.012,0.004
-6.6940e-02,0.016,0.01
-6.6930e-02,0.024,0.012
-6.6920e-02,0.01,0.01
-6.6910e-02,0.016,0.012
-6.6900e-02,0.014,0.006
-6.6890e-02,0.008,0.008
-6.6880e-02,0.014,0.008
-6.6870e-02,0.012,0.004
-6.6860e-02,0.018,0.004
-6.6850e-02,0.016,0.004
-6.6840e-02,0.014,0.004
-6.6830e-02,0.016,0
-6.6820e-02,0.008,0.006
-6.6810e-02,0.018,0.006
-6.6800e-02,0.018,0.008
-6.6790e-02,0.012,0.014
-6.6780e-02,0.006,0.008
-6.6770e-02,0.02,0.008
-6.6760e-02,0.014,0.008
-6.6750e-02,0.016,0.004
-6.6740e-02,0.008,0
-6.6730e-02,0.012,0.004
-6.6720e-02,0.016,0.004
-6.6710e-02,0.008,0.004
-6.6700e-02,0.014,0.006
-6.6690e-02,0.014,0.006
-6.6680e-02,0.016,0.004
-6.6670e-02,0.018,0
-6.6660e-02,0.022,0.006
-6.6650e-02,0.012,0.004
-6.6640e-02,0.012,0
-6.6630e-02,0.018,0.006
-6.6620e-02,0.014,0.006
-6.6610e-02,0.012,0.004
-6.6600e-02,0.014,0
-6.6590e-02,0.014,0.002
-6.6580e-02,0.014,0.006
-6.6570e-02,0.022,0
-6.6560e-02,0.018,0
-6.6550e-02,0.012,-0.004
-6.6540e-02,0.016,-0.002
-6.6530e-02,0.012,0
-6.6520e-02,0.014,0.004
-6.6510e-02,0.01,-0.002
-6.6500e-02,0.022,0.004
-6.6490e-02,0.02,0
-6.6480e-02,0.016,0
-6.6470e-02,0.016,0.008
-6.6460e-02,0.008,0
-6.6450e-02,0.01,0
-6.6440e-02,0.012,0.004
-6.6430e-02,0.016,0.004
-6.6420e-02,0.02,0
-6.6410e-02,0.012,0
-6.6400e-02,0.012,0
-6.6390e-02,0.018,0.002
-6.6380e-02,0.018,-0.002
-6.6370e-02,0.02,0
-6.6360e-02,0.012,0.002
-6.6350e-02,0.012,0.004
-6.6340e-02,0.018,0
-6.6330e-02,0.014,-0.004
-6.6320e-02,0.022,0.004
-6.6310e-02,0.008,0
-6.6300e-02,0.018,0.002
-6.6290e-02,0.008,0
-6.6280e-02,0.018,-0.002
-6.6270e-02,0.018,0
-6.6260e-02,0.02,-0.002
-6.6250e-02,0.008,-0.002
-6.6240e-02,0.02,0
-6.6230e-02,0.014,0
-6.6220e-02,0.014,0
-6.6210e-02,0.022,0
-6.6200e-02,0.016,-0.008
-6.6190e-02,0.02,-0.002
-6.6180e-02,0.012,-0.002
-6.6170e-02,0.014,-0.002
-6.6160e-02,0.014,-0.004
-6.6150e-02,0.018,-0.004
-6.6140e-02,0.012,-0.002
-6.6130e-02,0.014,0
-6.6120e-02,0.014,-0.006
-6.6110e-02,0.01,0
-6.6100e-02,0.016,-0.01
-6.6090e-02,0.012,-0.002
-6.6080e-02,0.016,-0.008
-6.6070e-02,0.012,-0.004
-6.6060e-02,0.012,-0.004
-6.6050e-02,0.014,-0.004
-6.6040e-02,0.012,-0.006
-6.6030e-02,0.014,0
-6.6020e-02,0.018,-0.004
-6.6010e-02,0.016,-0.006
-6.6000e-02,0.01,-0.004
-6.5990e-02,0.02,-0.002
-6.5980e-02,0.016,-0.004
-6.5970e-02,0.018,-0.002
-6.5960e-02,0.016,-0.004
-6.5950e-02,0.026,0
-6.5940e-02,0.018,0
-6.5930e-02,0.016,-0.002
-6.5920e-02,0.016,-0.002
-6.5910e-02,0.014,0
-6.5900e-02,0.022,-0.004
-6.5890e-02,0.016,-0.004
-6.5880e-02,0.016,-0.01
-6.5870e-02,0.018,-0.006
-6.5860e-02,0.01,-0.01
-6.5850e-02,0.018,-0.008
-6.5840e-02,0.022,-0.006
-6.5830e-02,0.016,-0.008
-6.5820e-02,0.016,-0.006
-6.5810e-02,0.016,-0.006
-6.5800e-02,0.016,-0.008
-6.5790e-02,0.012,-0.01
-6.5780e-02,0.008,-0.006
-6.5770e-02,0.016,-0.01
-6.5760e-02,0.012,-0.01
-6.5750e-02,0.016,-0.008
-6.5740e-02,0.014,-0.008
-6.5730e-02,0.016,-0.016
-6.5720e-02,0.024,-0.004
-6.5710e-02,0.014,-0.01
-6.5700e-02,0.016,-0.01
-6.5690e-02,0.02,-0.008
-6.5680e-02,0.016,-0.008
-6.5670e-02,0.012,-0.008
-6.5660e-02,0.014,-0.008
-6.5650e-02,0.014,-0.012
-6.5640e-02,0.016,-0.004
-6.5630e-02,0.018,-0.008
-6.5620e-02,0.018,-0.006
-6.5610e-02,0.012,-0.008
-6.5600e-02,0.018,-0.018
-6.5590e-02,0.014,-0.016
-6.5580e-02,0.006,-0.008
-6.5570e-02,0.01,-0.01
-6.5560e-02,0.008,-0.006
-6.5550e-02,0.018,-0.01
-6.5540e-02,0.014,-0.006
-6.5530e-02,0.012,-0.008
-6.5520e-02,0.018,-0.012
-6.5510e-02,0.006,-0.01
-6.5500e-02,0.016,-0.002
-6.5490e-02,0.012,-0.014
-6.5480e-02,0.016,-0.012
-6.5470e-02,0.018,-0.008
-6.5460e-02,0.018,-0.008
-6.5450e-02,0.014,-0.012
-6.5440e-02,0.014,-0.018
-6.5430e-02,0.01,-0.01
-6.5420e-02,0.016,-0.014
-6.5410e-02,0.008,-0.01
-6.5400e-02,0.008,-0.016
-6.5390e-02,0.016,-0.014
-6.5380e-02,0.012,-0.014
-6.5370e-02,0.018,-0.01
-6.5360e-02,0.012,-0.018
-6.5350e-02,0.012,-0.014
-6.5340e-02,0.016,-0.01
-6.5330e-02,0.016,-0.018
-6.5320e-02,0.012,-0.016
-6.5310e-02,0.012,-0.01
-6.5300e-02,0.016,-0.012
-6.5290e-02,0.016,-0.02
-6.5280e-02,0.018,-0.014
-6.5270e-02,0.014,-0.01
-6.5260e-02,0.008,-0.012
-6.5250e-02,0.012,-0.014
-6.5240e-02,0.012,-0.01
-6.5230e-02,0.018,-0.018
-6.5220e-02,0.016,-0.02
-6.5210e-02,0.02,-0.018
-6.5200e-02,0.01,-0.022
-6.5190e-02,0.018,-0.02
-6.5180e-02,0.016,-0.01
-6.5170e-02,0.01,-0.018
-6.5160e-02,0.008,-0.018
-6.5150e-02,0.016,-0.012
-6.5140e-02,0.016,-0.018
-6.5130e-02,0.018,-0.02
-6.5120e-02,0.014,-0.016
-6.5110e-02,0.024,-0.016
-6.5100e-02,0.014,-0.016
-6.5090e-02,0.01,-0.012
-6.5080e-02,0.016,-0.02
-6.5070e-02,0.012,-0.012
-6.5060e-02,0.012,-0.018
-6.5050e-02,0.016,-0.024
-6.5040e-02,0.012,-0.014
-6.5030e-02,0.012,-0.022
-6.5020e-02,0.012,-0.014
-6.5010e-02,0.012,-0.012
-6.5000e-02,0.014,-0.018
-6.4990e-02,0.014,-0.014
-6.4980e-02,0.016,-0.018
-6.4970e-02,0.016,-0.02
-6.4960e-02,0.016,-0.02
-6.4950e-02,0.012,-0.022
-6.4940e-02,0.018,-0.018
-6.4930e-02,0.012,-0.02
-6.4920e-02,0.012,-0.016
-6.4910e-02,0.02,-0.012
-6.4900e-02,0.018,-0.018
-6.4890e-02,0.018,-0.018
-6.4880e-02,0.012,-0.022
-6.4870e-02,0.012,-0.016
-6.4860e-02,0.012,-0.022
-6.4850e-02,0.014,-0.014
-6.4840e-02,0.016,-0.02
-6.4830e-02,0.018,-0.022
-6.4820e-02,0.012,-0.012
-6.4810e-02,0.014,-0.018
-6.4800e-02,0.014,-0.024
-6.4790e-02,0.008,-0.016
-6.4780e-02,0.016,-0.02
-6.4770e-02,0.016,-0.02
-6.4760e-02,0.014,-0.024
-6.4750e-02,0.028,-0.026
-6.4740e-02,0.014,-0.024
-6.4730e-02,0.018,-0.024
-6.4720e-02,0.016,-0.02
-6.4710e-02,0.016,-0.024
-6.4700e-02,0.014,-0.02
-6.4690e-02,0.018,-0.016
-6.4680e-02,0.02,-0.026
-6.4670e-02,0.016,-0.012
-6.4660e-02,0.012,-0.032
-6.4650e-02,0.012,-0.024
-6.4640e-02,0.008,-0.016
-6.4630e-02,0.014,-0.032
-6.4620e-02,0.016,-0.02
-6.4610e-02,0.01,-0.026
-6.4600e-02,0.014,-0.024
-6.4590e-02,0.016,-0.022
-6.4580e-02,0.014,-0.028
-6.4570e-02,0.02,-0.028
-6.4560e-02,0.016,-0.022
-6.4550e-02,0.022,-0.022
-6.4540e-02,0.01,-0.022
-6.4530e-02,0.014,-0.024
-6.4520e-02,0.012,-0.026
-6.4510e-02,0.014,-0.022
-6.4500e-02,0.016,-0.028
-6.4490e-02,0.014,-0.024
-6.4480e-02,0.022,-0.018
-6.4470e-02,0.014,-0.026
-6.4460e-02,0.012,-0.016
-6.4450e-02,0.02,-0.02
