"4395A REV1.12"
"DATE:     17 1992"



"CHANNEL: 1"
"MEASURE TYPE: A/R"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  96.48 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER: -2.5 dBm"
"IF BANDWIDTH:  30 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"	"Memory Trace Real"	"Memory Trace Imag"
5.175065500000E+07	-4.983515E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.250065000000E+07	-4.917472E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.325064500000E+07	-4.915167E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.400064000000E+07	-4.826826E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.475063500000E+07	-4.774403E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.550063000000E+07	-4.708151E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.625062500000E+07	-4.685488E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.700062000000E+07	-4.612678E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.775061500000E+07	-4.568117E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.850061000000E+07	-4.524766E+00	0.000000E+00	0.000000E+00	0.000000E+00
5.925060500000E+07	-4.523653E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.000060000000E+07	-4.473226E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.075059500000E+07	-4.427798E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.150059000000E+07	-4.391938E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.225058500000E+07	-4.345873E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.300058000000E+07	-4.291182E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.375057500000E+07	-4.252815E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.450057000000E+07	-4.193508E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.525056500000E+07	-4.163327E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.600056000000E+07	-4.112864E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.675055500000E+07	-4.077940E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.750055000000E+07	-4.079201E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.825054500000E+07	-4.035646E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.900054000000E+07	-4.018168E+00	0.000000E+00	0.000000E+00	0.000000E+00
6.975053500000E+07	-4.000482E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.050053000000E+07	-4.053652E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.125052500000E+07	-4.088583E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.200052000000E+07	-4.080521E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.275051500000E+07	-4.065434E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.350051000000E+07	-4.085786E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.425050500000E+07	-4.070993E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.500050000000E+07	-4.042296E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.575049500000E+07	-4.013285E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.650049000000E+07	-3.965296E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.725048500000E+07	-3.951177E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.800048000000E+07	-3.899465E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.875047500000E+07	-3.898257E+00	0.000000E+00	0.000000E+00	0.000000E+00
7.950047000000E+07	-3.902266E+00	0.000000E+00	0.000000E+00	0.000000E+00
8.025046500000E+07	-3.895232E+00	0.000000E+00	0.000000E+00	0.000000E+00
8.100046000000E+07	-3.854123E+00	0.000000E+00	0.000000E+00	0.000000E+00
8.175045500000E+07	-3.893347E+00	0.000000E+00	0.000000E+00	0.000000E+00
8.250045000000E+07	-3.862951E+00	0.000000E+00	0.000000E+00	0.000000E+00
8.325044500000E+07	-3.841071E+00	0.000000E+00	0.000000E+00	0.000000E+00
8.400044000000E+07	-3.845148E+00	0.000000E+00	0.000000E+00	0.000000E+00
